Season,Date,MatchWeek,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-2019,2018-08-10,1,Man United,Leicester,2,1,H
2018-2019,2018-08-11,1,Bournemouth,Cardiff,2,0,H
2018-2019,2018-08-11,1,Fulham,Crystal Palace,0,2,A
2018-2019,2018-08-11,1,Huddersfield,Chelsea,0,3,A
2018-2019,2018-08-11,1,Newcastle,Tottenham,1,2,A
2018-2019,2018-08-11,1,Watford,Brighton,2,0,H
2018-2019,2018-08-11,1,Wolves,Everton,2,2,D
2018-2019,2018-08-12,1,Arsenal,Man City,0,2,A
2018-2019,2018-08-12,1,Liverpool,West Ham,4,0,H
2018-2019,2018-08-12,1,Southampton,Burnley,0,0,D
2018-2019,2018-08-18,2,Cardiff,Newcastle,0,0,D
2018-2019,2018-08-18,2,Chelsea,Arsenal,3,2,H
2018-2019,2018-08-18,2,Everton,Southampton,2,1,H
2018-2019,2018-08-18,2,Leicester,Wolves,2,0,H
2018-2019,2018-08-18,2,Tottenham,Fulham,3,1,H
2018-2019,2018-08-18,2,West Ham,Bournemouth,1,2,A
2018-2019,2018-08-19,2,Brighton,Man United,3,2,H
2018-2019,2018-08-19,2,Burnley,Watford,1,3,A
2018-2019,2018-08-19,2,Man City,Huddersfield,6,1,H
2018-2019,2018-08-20,2,Crystal Palace,Liverpool,0,2,A
2018-2019,2018-08-25,3,Arsenal,West Ham,3,1,H
2018-2019,2018-08-25,3,Bournemouth,Everton,2,2,D
2018-2019,2018-08-25,3,Huddersfield,Cardiff,0,0,D
2018-2019,2018-08-25,3,Liverpool,Brighton,1,0,H
2018-2019,2018-08-25,3,Southampton,Leicester,1,2,A
2018-2019,2018-08-25,3,Wolves,Man City,1,1,D
2018-2019,2018-08-26,3,Fulham,Burnley,4,2,H
2018-2019,2018-08-26,3,Newcastle,Chelsea,1,2,A
2018-2019,2018-08-26,3,Watford,Crystal Palace,2,1,H
2018-2019,2018-08-27,3,Man United,Tottenham,0,3,A
2018-2019,2018-09-01,4,Brighton,Fulham,2,2,D
2018-2019,2018-09-01,4,Chelsea,Bournemouth,2,0,H
2018-2019,2018-09-01,4,Crystal Palace,Southampton,0,2,A
2018-2019,2018-09-01,4,Everton,Huddersfield,1,1,D
2018-2019,2018-09-01,4,Leicester,Liverpool,1,2,A
2018-2019,2018-09-01,4,Man City,Newcastle,2,1,H
2018-2019,2018-09-01,4,West Ham,Wolves,0,1,A
2018-2019,2018-09-02,4,Burnley,Man United,0,2,A
2018-2019,2018-09-02,4,Cardiff,Arsenal,2,3,A
2018-2019,2018-09-02,4,Watford,Tottenham,2,1,H
2018-2019,2018-09-15,5,Bournemouth,Leicester,4,2,H
2018-2019,2018-09-15,5,Chelsea,Cardiff,4,1,H
2018-2019,2018-09-15,5,Huddersfield,Crystal Palace,0,1,A
2018-2019,2018-09-15,5,Man City,Fulham,3,0,H
2018-2019,2018-09-15,5,Newcastle,Arsenal,1,2,A
2018-2019,2018-09-15,5,Tottenham,Liverpool,1,2,A
2018-2019,2018-09-15,5,Watford,Man United,1,2,A
2018-2019,2018-09-16,5,Everton,West Ham,1,3,A
2018-2019,2018-09-16,5,Wolves,Burnley,1,0,H
2018-2019,2018-09-17,5,Southampton,Brighton,2,2,D
2018-2019,2018-09-22,6,Brighton,Tottenham,1,2,A
2018-2019,2018-09-22,6,Burnley,Bournemouth,4,0,H
2018-2019,2018-09-22,6,Cardiff,Man City,0,5,A
2018-2019,2018-09-22,6,Crystal Palace,Newcastle,0,0,D
2018-2019,2018-09-22,6,Fulham,Watford,1,1,D
2018-2019,2018-09-22,6,Leicester,Huddersfield,3,1,H
2018-2019,2018-09-22,6,Liverpool,Southampton,3,0,H
2018-2019,2018-09-22,6,Man United,Wolves,1,1,D
2018-2019,2018-09-23,6,Arsenal,Everton,2,0,H
2018-2019,2018-09-23,6,West Ham,Chelsea,0,0,D
2018-2019,2018-09-29,7,Arsenal,Watford,2,0,H
2018-2019,2018-09-29,7,Chelsea,Liverpool,1,1,D
2018-2019,2018-09-29,7,Everton,Fulham,3,0,H
2018-2019,2018-09-29,7,Huddersfield,Tottenham,0,2,A
2018-2019,2018-09-29,7,Man City,Brighton,2,0,H
2018-2019,2018-09-29,7,Newcastle,Leicester,0,2,A
2018-2019,2018-09-29,7,West Ham,Man United,3,1,H
2018-2019,2018-09-29,7,Wolves,Southampton,2,0,H
2018-2019,2018-09-30,7,Cardiff,Burnley,1,2,A
2018-2019,2018-10-01,7,Bournemouth,Crystal Palace,2,1,H
2018-2019,2018-10-05,8,Brighton,West Ham,1,0,H
2018-2019,2018-10-06,8,Burnley,Huddersfield,1,1,D
2018-2019,2018-10-06,8,Crystal Palace,Wolves,0,1,A
2018-2019,2018-10-06,8,Leicester,Everton,1,2,A
2018-2019,2018-10-06,8,Man United,Newcastle,3,2,H
2018-2019,2018-10-06,8,Tottenham,Cardiff,1,0,H
2018-2019,2018-10-06,8,Watford,Bournemouth,0,4,A
2018-2019,2018-10-07,8,Fulham,Arsenal,1,5,A
2018-2019,2018-10-07,8,Liverpool,Man City,0,0,D
2018-2019,2018-10-07,8,Southampton,Chelsea,0,3,A
2018-2019,2018-10-20,9,Bournemouth,Southampton,0,0,D
2018-2019,2018-10-20,9,Cardiff,Fulham,4,2,H
2018-2019,2018-10-20,9,Chelsea,Man United,2,2,D
2018-2019,2018-10-20,9,Huddersfield,Liverpool,0,1,A
2018-2019,2018-10-20,9,Man City,Burnley,5,0,H
2018-2019,2018-10-20,9,Newcastle,Brighton,0,1,A
2018-2019,2018-10-20,9,West Ham,Tottenham,0,1,A
2018-2019,2018-10-20,9,Wolves,Watford,0,2,A
2018-2019,2018-10-21,9,Everton,Crystal Palace,2,0,H
2018-2019,2018-10-22,9,Arsenal,Leicester,3,1,H
2018-2019,2018-10-27,10,Brighton,Wolves,1,0,H
2018-2019,2018-10-27,10,Fulham,Bournemouth,0,3,A
2018-2019,2018-10-27,10,Leicester,West Ham,1,1,D
2018-2019,2018-10-27,10,Liverpool,Cardiff,4,1,H
2018-2019,2018-10-27,10,Southampton,Newcastle,0,0,D
2018-2019,2018-10-27,10,Watford,Huddersfield,3,0,H
2018-2019,2018-10-28,10,Burnley,Chelsea,0,4,A
2018-2019,2018-10-28,10,Crystal Palace,Arsenal,2,2,D
2018-2019,2018-10-28,10,Man United,Everton,2,1,H
2018-2019,2018-10-29,10,Tottenham,Man City,0,1,A
2018-2019,2018-11-03,11,Arsenal,Liverpool,1,1,D
2018-2019,2018-11-03,11,Bournemouth,Man United,1,2,A
2018-2019,2018-11-03,11,Cardiff,Leicester,0,1,A
2018-2019,2018-11-03,11,Everton,Brighton,3,1,H
2018-2019,2018-11-03,11,Newcastle,Watford,1,0,H
2018-2019,2018-11-03,11,West Ham,Burnley,4,2,H
2018-2019,2018-11-03,11,Wolves,Tottenham,2,3,A
2018-2019,2018-11-04,11,Chelsea,Crystal Palace,3,1,H
2018-2019,2018-11-04,11,Man City,Southampton,6,1,H
2018-2019,2018-11-05,11,Huddersfield,Fulham,1,0,H
2018-2019,2018-11-10,12,Cardiff,Brighton,2,1,H
2018-2019,2018-11-10,12,Crystal Palace,Tottenham,0,1,A
2018-2019,2018-11-10,12,Huddersfield,West Ham,1,1,D
2018-2019,2018-11-10,12,Leicester,Burnley,0,0,D
2018-2019,2018-11-10,12,Newcastle,Bournemouth,2,1,H
2018-2019,2018-11-10,12,Southampton,Watford,1,1,D
2018-2019,2018-11-11,12,Arsenal,Wolves,1,1,D
2018-2019,2018-11-11,12,Chelsea,Everton,0,0,D
2018-2019,2018-11-11,12,Liverpool,Fulham,2,0,H
2018-2019,2018-11-11,12,Man City,Man United,3,1,H
2018-2019,2018-11-24,13,Brighton,Leicester,1,1,D
2018-2019,2018-11-24,13,Everton,Cardiff,1,0,H
2018-2019,2018-11-24,13,Fulham,Southampton,3,2,H
2018-2019,2018-11-24,13,Man United,Crystal Palace,0,0,D
2018-2019,2018-11-24,13,Tottenham,Chelsea,3,1,H
2018-2019,2018-11-24,13,Watford,Liverpool,0,3,A
2018-2019,2018-11-24,13,West Ham,Man City,0,4,A
2018-2019,2018-11-25,13,Bournemouth,Arsenal,1,2,A
2018-2019,2018-11-25,13,Wolves,Huddersfield,0,2,A
2018-2019,2018-11-26,13,Burnley,Newcastle,1,2,A
2018-2019,2018-11-30,14,Cardiff,Wolves,2,1,H
2018-2019,2018-12-01,14,Crystal Palace,Burnley,2,0,H
2018-2019,2018-12-01,14,Huddersfield,Brighton,1,2,A
2018-2019,2018-12-01,14,Leicester,Watford,2,0,H
2018-2019,2018-12-01,14,Man City,Bournemouth,3,1,H
2018-2019,2018-12-01,14,Newcastle,West Ham,0,3,A
2018-2019,2018-12-01,14,Southampton,Man United,2,2,D
2018-2019,2018-12-02,14,Arsenal,Tottenham,4,2,H
2018-2019,2018-12-02,14,Chelsea,Fulham,2,0,H
2018-2019,2018-12-02,14,Liverpool,Everton,1,0,H
2018-2019,2018-12-04,15,Bournemouth,Huddersfield,2,1,H
2018-2019,2018-12-04,15,Brighton,Crystal Palace,3,1,H
2018-2019,2018-12-04,15,Watford,Man City,1,2,A
2018-2019,2018-12-04,15,West Ham,Cardiff,3,1,H
2018-2019,2018-12-05,15,Burnley,Liverpool,1,3,A
2018-2019,2018-12-05,15,Everton,Newcastle,1,1,D
2018-2019,2018-12-05,15,Fulham,Leicester,1,1,D
2018-2019,2018-12-05,15,Man United,Arsenal,2,2,D
2018-2019,2018-12-05,15,Tottenham,Southampton,3,1,H
2018-2019,2018-12-05,15,Wolves,Chelsea,2,1,H
2018-2019,2018-12-08,16,Arsenal,Huddersfield,1,0,H
2018-2019,2018-12-08,16,Bournemouth,Liverpool,0,4,A
2018-2019,2018-12-08,16,Burnley,Brighton,1,0,H
2018-2019,2018-12-08,16,Cardiff,Southampton,1,0,H
2018-2019,2018-12-08,16,Chelsea,Man City,2,0,H
2018-2019,2018-12-08,16,Leicester,Tottenham,0,2,A
2018-2019,2018-12-08,16,Man United,Fulham,4,1,H
2018-2019,2018-12-08,16,West Ham,Crystal Palace,3,2,H
2018-2019,2018-12-09,16,Newcastle,Wolves,1,2,A
2018-2019,2018-12-10,16,Everton,Watford,2,2,D
2018-2019,2018-12-15,17,Crystal Palace,Leicester,1,0,H
2018-2019,2018-12-15,17,Fulham,West Ham,0,2,A
2018-2019,2018-12-15,17,Huddersfield,Newcastle,0,1,A
2018-2019,2018-12-15,17,Man City,Everton,3,1,H
2018-2019,2018-12-15,17,Tottenham,Burnley,1,0,H
2018-2019,2018-12-15,17,Watford,Cardiff,3,2,H
2018-2019,2018-12-15,17,Wolves,Bournemouth,2,0,H
2018-2019,2018-12-16,17,Brighton,Chelsea,1,2,A
2018-2019,2018-12-16,17,Liverpool,Man United,3,1,H
2018-2019,2018-12-16,17,Southampton,Arsenal,3,2,H
2018-2019,2018-12-21,18,Wolves,Liverpool,0,2,A
2018-2019,2018-12-22,18,Arsenal,Burnley,3,1,H
2018-2019,2018-12-22,18,Bournemouth,Brighton,2,0,H
2018-2019,2018-12-22,18,Cardiff,Man United,1,5,A
2018-2019,2018-12-22,18,Chelsea,Leicester,0,1,A
2018-2019,2018-12-22,18,Huddersfield,Southampton,1,3,A
2018-2019,2018-12-22,18,Man City,Crystal Palace,2,3,A
2018-2019,2018-12-22,18,Newcastle,Fulham,0,0,D
2018-2019,2018-12-22,18,West Ham,Watford,0,2,A
2018-2019,2018-12-23,18,Everton,Tottenham,2,6,A
2018-2019,2018-12-26,19,Brighton,Arsenal,1,1,D
2018-2019,2018-12-26,19,Burnley,Everton,1,5,A
2018-2019,2018-12-26,19,Crystal Palace,Cardiff,0,0,D
2018-2019,2018-12-26,19,Fulham,Wolves,1,1,D
2018-2019,2018-12-26,19,Leicester,Man City,2,1,H
2018-2019,2018-12-26,19,Liverpool,Newcastle,4,0,H
2018-2019,2018-12-26,19,Man United,Huddersfield,3,1,H
2018-2019,2018-12-26,19,Tottenham,Bournemouth,5,0,H
2018-2019,2018-12-26,19,Watford,Chelsea,1,2,A
2018-2019,2018-12-27,19,Southampton,West Ham,1,2,A
2018-2019,2018-12-29,20,Brighton,Everton,1,0,H
2018-2019,2018-12-29,20,Fulham,Huddersfield,1,0,H
2018-2019,2018-12-29,20,Leicester,Cardiff,0,1,A
2018-2019,2018-12-29,20,Liverpool,Arsenal,5,1,H
2018-2019,2018-12-29,20,Tottenham,Wolves,1,3,A
2018-2019,2018-12-29,20,Watford,Newcastle,1,1,D
2018-2019,2018-12-30,20,Burnley,West Ham,2,0,H
2018-2019,2018-12-30,20,Crystal Palace,Chelsea,0,1,A
2018-2019,2018-12-30,20,Man United,Bournemouth,4,1,H
2018-2019,2018-12-30,20,Southampton,Man City,1,3,A
2018-2019,2019-01-01,21,Arsenal,Fulham,4,1,H
2018-2019,2019-01-01,21,Cardiff,Tottenham,0,3,A
2018-2019,2019-01-01,21,Everton,Leicester,0,1,A
2018-2019,2019-01-02,21,Bournemouth,Watford,3,3,D
2018-2019,2019-01-02,21,Chelsea,Southampton,0,0,D
2018-2019,2019-01-02,21,Huddersfield,Burnley,1,2,A
2018-2019,2019-01-02,21,Newcastle,Man United,0,2,A
2018-2019,2019-01-02,21,West Ham,Brighton,2,2,D
2018-2019,2019-01-02,21,Wolves,Crystal Palace,0,2,A
2018-2019,2019-01-03,21,Man City,Liverpool,2,1,H
2018-2019,2019-01-12,22,Brighton,Liverpool,0,1,A
2018-2019,2019-01-12,22,Burnley,Fulham,2,1,H
2018-2019,2019-01-12,22,Cardiff,Huddersfield,0,0,D
2018-2019,2019-01-12,22,Chelsea,Newcastle,2,1,H
2018-2019,2019-01-12,22,Crystal Palace,Watford,1,2,A
2018-2019,2019-01-12,22,Leicester,Southampton,1,2,A
2018-2019,2019-01-12,22,West Ham,Arsenal,1,0,H
2018-2019,2019-01-13,22,Everton,Bournemouth,2,0,H
2018-2019,2019-01-13,22,Tottenham,Man United,0,1,A
2018-2019,2019-01-14,22,Man City,Wolves,3,0,H
2018-2019,2019-01-19,23,Arsenal,Chelsea,2,0,H
2018-2019,2019-01-19,23,Bournemouth,West Ham,2,0,H
2018-2019,2019-01-19,23,Liverpool,Crystal Palace,4,3,H
2018-2019,2019-01-19,23,Man United,Brighton,2,1,H
2018-2019,2019-01-19,23,Newcastle,Cardiff,3,0,H
2018-2019,2019-01-19,23,Southampton,Everton,2,1,H
2018-2019,2019-01-19,23,Watford,Burnley,0,0,D
2018-2019,2019-01-19,23,Wolves,Leicester,4,3,H
2018-2019,2019-01-20,23,Fulham,Tottenham,1,2,A
2018-2019,2019-01-20,23,Huddersfield,Man City,0,3,A
2018-2019,2019-01-29,24,Arsenal,Cardiff,2,1,H
2018-2019,2019-01-29,24,Fulham,Brighton,4,2,H
2018-2019,2019-01-29,24,Huddersfield,Everton,0,1,A
2018-2019,2019-01-29,24,Man United,Burnley,2,2,D
2018-2019,2019-01-29,24,Newcastle,Man City,2,1,H
2018-2019,2019-01-29,24,Wolves,West Ham,3,0,H
2018-2019,2019-01-30,24,Bournemouth,Chelsea,4,0,H
2018-2019,2019-01-30,24,Liverpool,Leicester,1,1,D
2018-2019,2019-01-30,24,Southampton,Crystal Palace,1,1,D
2018-2019,2019-01-30,24,Tottenham,Watford,2,1,H
2018-2019,2019-02-02,25,Brighton,Watford,0,0,D
2018-2019,2019-02-02,25,Burnley,Southampton,1,1,D
2018-2019,2019-02-02,25,Cardiff,Bournemouth,2,0,H
2018-2019,2019-02-02,25,Chelsea,Huddersfield,5,0,H
2018-2019,2019-02-02,25,Crystal Palace,Fulham,2,0,H
2018-2019,2019-02-02,25,Everton,Wolves,1,3,A
2018-2019,2019-02-02,25,Tottenham,Newcastle,1,0,H
2018-2019,2019-02-03,25,Leicester,Man United,0,1,A
2018-2019,2019-02-03,25,Man City,Arsenal,3,1,H
2018-2019,2019-02-04,25,West Ham,Liverpool,1,1,D
2018-2019,2019-02-06,25,Everton,Man City,0,2,A
2018-2019,2019-02-09,26,Brighton,Burnley,1,3,A
2018-2019,2019-02-09,26,Crystal Palace,West Ham,1,1,D
2018-2019,2019-02-09,26,Fulham,Man United,0,3,A
2018-2019,2019-02-09,26,Huddersfield,Arsenal,1,2,A
2018-2019,2019-02-09,26,Liverpool,Bournemouth,3,0,H
2018-2019,2019-02-09,26,Southampton,Cardiff,1,2,A
2018-2019,2019-02-09,26,Watford,Everton,1,0,H
2018-2019,2019-02-10,26,Man City,Chelsea,6,0,H
2018-2019,2019-02-10,26,Tottenham,Leicester,3,1,H
2018-2019,2019-02-11,26,Wolves,Newcastle,1,1,D
2018-2019,2019-02-22,27,Cardiff,Watford,1,5,A
2018-2019,2019-02-22,27,West Ham,Fulham,3,1,H
2018-2019,2019-02-23,27,Bournemouth,Wolves,1,1,D
2018-2019,2019-02-23,27,Burnley,Tottenham,2,1,H
2018-2019,2019-02-23,27,Leicester,Crystal Palace,1,4,A
2018-2019,2019-02-23,27,Newcastle,Huddersfield,2,0,H
2018-2019,2019-02-24,27,Arsenal,Southampton,2,0,H
2018-2019,2019-02-24,27,Man United,Liverpool,0,0,D
2018-2019,2019-02-26,28,Cardiff,Everton,0,3,A
2018-2019,2019-02-26,28,Huddersfield,Wolves,1,0,H
2018-2019,2019-02-26,28,Leicester,Brighton,2,1,H
2018-2019,2019-02-26,28,Newcastle,Burnley,2,0,H
2018-2019,2019-02-27,28,Arsenal,Bournemouth,5,1,H
2018-2019,2019-02-27,28,Chelsea,Tottenham,2,0,H
2018-2019,2019-02-27,28,Crystal Palace,Man United,1,3,A
2018-2019,2019-02-27,28,Liverpool,Watford,5,0,H
2018-2019,2019-02-27,28,Man City,West Ham,1,0,H
2018-2019,2019-02-27,28,Southampton,Fulham,2,0,H
2018-2019,2019-03-02,29,Bournemouth,Man City,0,1,A
2018-2019,2019-03-02,29,Brighton,Huddersfield,1,0,H
2018-2019,2019-03-02,29,Burnley,Crystal Palace,1,3,A
2018-2019,2019-03-02,29,Man United,Southampton,3,2,H
2018-2019,2019-03-02,29,Tottenham,Arsenal,1,1,D
2018-2019,2019-03-02,29,West Ham,Newcastle,2,0,H
2018-2019,2019-03-02,29,Wolves,Cardiff,2,0,H
2018-2019,2019-03-03,29,Everton,Liverpool,0,0,D
2018-2019,2019-03-03,29,Fulham,Chelsea,1,2,A
2018-2019,2019-03-03,29,Watford,Leicester,2,1,H
2018-2019,2019-03-09,30,Cardiff,West Ham,2,0,H
2018-2019,2019-03-09,30,Crystal Palace,Brighton,1,2,A
2018-2019,2019-03-09,30,Huddersfield,Bournemouth,0,2,A
2018-2019,2019-03-09,30,Leicester,Fulham,3,1,H
2018-2019,2019-03-09,30,Man City,Watford,3,1,H
2018-2019,2019-03-09,30,Newcastle,Everton,3,2,H
2018-2019,2019-03-09,30,Southampton,Tottenham,2,1,H
2018-2019,2019-03-10,30,Arsenal,Man United,2,0,H
2018-2019,2019-03-10,30,Chelsea,Wolves,1,1,D
2018-2019,2019-03-10,30,Liverpool,Burnley,4,2,H
2018-2019,2019-03-16,31,Bournemouth,Newcastle,2,2,D
2018-2019,2019-03-16,31,Burnley,Leicester,1,2,A
2018-2019,2019-03-16,31,West Ham,Huddersfield,4,3,H
2018-2019,2019-03-17,31,Everton,Chelsea,2,0,H
2018-2019,2019-03-17,31,Fulham,Liverpool,1,2,A
2018-2019,2019-03-30,32,Brighton,Southampton,0,1,A
2018-2019,2019-03-30,32,Burnley,Wolves,2,0,H
2018-2019,2019-03-30,32,Crystal Palace,Huddersfield,2,0,H
2018-2019,2019-03-30,32,Fulham,Man City,0,2,A
2018-2019,2019-03-30,32,Leicester,Bournemouth,2,0,H
2018-2019,2019-03-30,32,Man United,Watford,2,1,H
2018-2019,2019-03-30,32,West Ham,Everton,0,2,A
2018-2019,2019-03-31,32,Cardiff,Chelsea,1,2,A
2018-2019,2019-03-31,32,Liverpool,Tottenham,2,1,H
2018-2019,2019-04-01,32,Arsenal,Newcastle,2,0,H
2018-2019,2019-04-02,32,Watford,Fulham,4,1,H
2018-2019,2019-04-02,32,Wolves,Man United,2,1,H
2018-2019,2019-04-03,32,Chelsea,Brighton,3,0,H
2018-2019,2019-04-03,32,Man City,Cardiff,2,0,H
2018-2019,2019-04-03,32,Tottenham,Crystal Palace,2,0,H
2018-2019,2019-04-05,33,Southampton,Liverpool,1,3,A
2018-2019,2019-04-06,33,Bournemouth,Burnley,1,3,A
2018-2019,2019-04-06,33,Huddersfield,Leicester,1,4,A
2018-2019,2019-04-06,33,Newcastle,Crystal Palace,0,1,A
2018-2019,2019-04-07,33,Everton,Arsenal,1,0,H
2018-2019,2019-04-08,33,Chelsea,West Ham,2,0,H
2018-2019,2019-04-12,34,Leicester,Newcastle,0,1,A
2018-2019,2019-04-13,34,Brighton,Bournemouth,0,5,A
2018-2019,2019-04-13,34,Burnley,Cardiff,2,0,H
2018-2019,2019-04-13,34,Fulham,Everton,2,0,H
2018-2019,2019-04-13,34,Man United,West Ham,2,1,H
2018-2019,2019-04-13,34,Southampton,Wolves,3,1,H
2018-2019,2019-04-13,34,Tottenham,Huddersfield,4,0,H
2018-2019,2019-04-14,34,Crystal Palace,Man City,1,3,A
2018-2019,2019-04-14,34,Liverpool,Chelsea,2,0,H
2018-2019,2019-04-15,34,Watford,Arsenal,0,1,A
2018-2019,2019-04-16,34,Brighton,Cardiff,0,2,A
2018-2019,2019-04-20,35,Bournemouth,Fulham,0,1,A
2018-2019,2019-04-20,35,Huddersfield,Watford,1,2,A
2018-2019,2019-04-20,35,Man City,Tottenham,1,0,H
2018-2019,2019-04-20,35,Newcastle,Southampton,3,1,H
2018-2019,2019-04-20,35,West Ham,Leicester,2,2,D
2018-2019,2019-04-20,35,Wolves,Brighton,0,0,D
2018-2019,2019-04-21,35,Arsenal,Crystal Palace,2,3,A
2018-2019,2019-04-21,35,Cardiff,Liverpool,0,2,A
2018-2019,2019-04-21,35,Everton,Man United,4,0,H
2018-2019,2019-04-22,35,Chelsea,Burnley,2,2,D
2018-2019,2019-04-23,35,Tottenham,Brighton,1,0,H
2018-2019,2019-04-23,35,Watford,Southampton,1,1,D
2018-2019,2019-04-24,35,Man United,Man City,0,2,A
2018-2019,2019-04-24,35,Wolves,Arsenal,3,1,H
2018-2019,2019-04-26,36,Liverpool,Huddersfield,5,0,H
2018-2019,2019-04-27,36,Brighton,Newcastle,1,1,D
2018-2019,2019-04-27,36,Crystal Palace,Everton,0,0,D
2018-2019,2019-04-27,36,Fulham,Cardiff,1,0,H
2018-2019,2019-04-27,36,Southampton,Bournemouth,3,3,D
2018-2019,2019-04-27,36,Tottenham,West Ham,0,1,A
2018-2019,2019-04-27,36,Watford,Wolves,1,2,A
2018-2019,2019-04-28,36,Burnley,Man City,0,1,A
2018-2019,2019-04-28,36,Leicester,Arsenal,3,0,H
2018-2019,2019-04-28,36,Man United,Chelsea,1,1,D
2018-2019,2019-05-03,37,Everton,Burnley,2,0,H
2018-2019,2019-05-04,37,Bournemouth,Tottenham,1,0,H
2018-2019,2019-05-04,37,Cardiff,Crystal Palace,2,3,A
2018-2019,2019-05-04,37,Newcastle,Liverpool,2,3,A
2018-2019,2019-05-04,37,West Ham,Southampton,3,0,H
2018-2019,2019-05-04,37,Wolves,Fulham,1,0,H
2018-2019,2019-05-05,37,Arsenal,Brighton,1,1,D
2018-2019,2019-05-05,37,Chelsea,Watford,3,0,H
2018-2019,2019-05-05,37,Huddersfield,Man United,1,1,D
2018-2019,2019-05-06,37,Man City,Leicester,1,0,H
2018-2019,2019-05-12,38,Brighton,Man City,1,4,A
2018-2019,2019-05-12,38,Burnley,Arsenal,1,3,A
2018-2019,2019-05-12,38,Crystal Palace,Bournemouth,5,3,H
2018-2019,2019-05-12,38,Fulham,Newcastle,0,4,A
2018-2019,2019-05-12,38,Leicester,Chelsea,0,0,D
2018-2019,2019-05-12,38,Liverpool,Wolves,2,0,H
2018-2019,2019-05-12,38,Man United,Cardiff,0,2,A
2018-2019,2019-05-12,38,Southampton,Huddersfield,1,1,D
2018-2019,2019-05-12,38,Tottenham,Everton,2,2,D
2018-2019,2019-05-12,38,Watford,West Ham,1,4,A
2019-2020,2019-08-09,1,Liverpool,Norwich,4,1,H
2019-2020,2019-08-10,1,West Ham,Man City,0,5,A
2019-2020,2019-08-10,1,Bournemouth,Sheffield United,1,1,D
2019-2020,2019-08-10,1,Burnley,Southampton,3,0,H
2019-2020,2019-08-10,1,Crystal Palace,Everton,0,0,D
2019-2020,2019-08-10,1,Watford,Brighton,0,3,A
2019-2020,2019-08-10,1,Tottenham,Aston Villa,3,1,H
2019-2020,2019-08-11,1,Leicester,Wolves,0,0,D
2019-2020,2019-08-11,1,Newcastle,Arsenal,0,1,A
2019-2020,2019-08-11,1,Man United,Chelsea,4,0,H
2019-2020,2019-08-17,2,Arsenal,Burnley,2,1,H
2019-2020,2019-08-17,2,Aston Villa,Bournemouth,1,2,A
2019-2020,2019-08-17,2,Brighton,West Ham,1,1,D
2019-2020,2019-08-17,2,Everton,Watford,1,0,H
2019-2020,2019-08-17,2,Norwich,Newcastle,3,1,H
2019-2020,2019-08-17,2,Southampton,Liverpool,1,2,A
2019-2020,2019-08-17,2,Man City,Tottenham,2,2,D
2019-2020,2019-08-18,2,Sheffield United,Crystal Palace,1,0,H
2019-2020,2019-08-18,2,Chelsea,Leicester,1,1,D
2019-2020,2019-08-19,2,Wolves,Man United,1,1,D
2019-2020,2019-08-23,3,Aston Villa,Everton,2,0,H
2019-2020,2019-08-24,3,Norwich,Chelsea,2,3,A
2019-2020,2019-08-24,3,Brighton,Southampton,0,2,A
2019-2020,2019-08-24,3,Man United,Crystal Palace,1,2,A
2019-2020,2019-08-24,3,Sheffield United,Leicester,1,2,A
2019-2020,2019-08-24,3,Watford,West Ham,1,3,A
2019-2020,2019-08-24,3,Liverpool,Arsenal,3,1,H
2019-2020,2019-08-25,3,Bournemouth,Man City,1,3,A
2019-2020,2019-08-25,3,Tottenham,Newcastle,0,1,A
2019-2020,2019-08-25,3,Wolves,Burnley,1,1,D
2019-2020,2019-08-31,4,Southampton,Man United,1,1,D
2019-2020,2019-08-31,4,Chelsea,Sheffield United,2,2,D
2019-2020,2019-08-31,4,Crystal Palace,Aston Villa,1,0,H
2019-2020,2019-08-31,4,Leicester,Bournemouth,3,1,H
2019-2020,2019-08-31,4,Man City,Brighton,4,0,H
2019-2020,2019-08-31,4,Newcastle,Watford,1,1,D
2019-2020,2019-08-31,4,West Ham,Norwich,2,0,H
2019-2020,2019-08-31,4,Burnley,Liverpool,0,3,A
2019-2020,2019-09-01,4,Everton,Wolves,3,2,H
2019-2020,2019-09-01,4,Arsenal,Tottenham,2,2,D
2019-2020,2019-09-14,5,Liverpool,Newcastle,3,1,H
2019-2020,2019-09-14,5,Brighton,Burnley,1,1,D
2019-2020,2019-09-14,5,Man United,Leicester,1,0,H
2019-2020,2019-09-14,5,Sheffield United,Southampton,0,1,A
2019-2020,2019-09-14,5,Tottenham,Crystal Palace,4,0,H
2019-2020,2019-09-14,5,Wolves,Chelsea,2,5,A
2019-2020,2019-09-14,5,Norwich,Man City,3,2,H
2019-2020,2019-09-15,5,Bournemouth,Everton,3,1,H
2019-2020,2019-09-15,5,Watford,Arsenal,2,2,D
2019-2020,2019-09-16,5,Aston Villa,West Ham,0,0,D
2019-2020,2019-09-20,6,Southampton,Bournemouth,1,3,A
2019-2020,2019-09-21,6,Leicester,Tottenham,2,1,H
2019-2020,2019-09-21,6,Burnley,Norwich,2,0,H
2019-2020,2019-09-21,6,Everton,Sheffield United,0,2,A
2019-2020,2019-09-21,6,Man City,Watford,8,0,H
2019-2020,2019-09-21,6,Newcastle,Brighton,0,0,D
2019-2020,2019-09-22,6,Crystal Palace,Wolves,1,1,D
